case,phase,kind,n_points,vel_rel_l2,speed_rel_l2,vel_nrmse_uref,speed_nrmse_uref,recirc_cfd,recirc_pinn,diameter_cm
1,diastolic,XZ,60000,111.14504792965519,110.24490604068873,1.7070749075115614,2.9327944124297685,0.0448,0.13951666666666668,2.0
1,systolic,XZ,60000,8.279142840213389,7.425803780930758,2.643011238333991,4.105988520838623,0.0483,0.2786166666666667,2.0
