case,phase,n_points,wss_rel_l2,wss_mean_cfd,wss_mean_pinn,wss_peak_cfd,wss_peak_pinn,diameter_cm
1,diastolic,13974,15.423254872031341,0.29935175274575926,4.9925761222839355,1.06706488,14.428227424621582,2.0
1,systolic,14041,0.8836749340758863,4.157479597238851,5.088334560394287,24.8819046,14.984930992126465,2.0
